,name,address,longtitude,latitude,telephone,email,website,problems_solving,audience,description
147,"Благотворительный фонд ""Меценат""","664046, Иркутская область, Иркутск, ул. Партизанская, д. 136",,,8(3952)66-15-00,info@blagom.ru,http://blagom.ru,"['Социальная помощь', 'Реабилитация и адаптация', 'Помощь в тяжелой жизненной ситуации', 'Правовая поддержка', 'Нефинансовая/гуманитарная помощь']","['Ребенок (0-11 лет)', 'Подросток (12-17 лет)', 'Взрослый (18-59 лет)', 'Пожилой (старше 60 лет)', 'Инвалид', 'Малоимущий/безработный/многодетная семья']","
Описание благотворительной организации
Благотворительная деятельность Фонда осуществляется в целях:
•	социальной поддержки и защиты граждан, социальной реабилитации безработных инвалидов, престарелых, осужденных и иных лиц, которые в силу своих физических или интеллектуальных особенностей, иных обстоятельств не способны самостоятельно реализовать свои права и законные интересы;
•	содействие защите материнства, детства, отцовства;
•	содействие деятельности в сфере образования, здравоохранения, науки, культуры, искусства, просвещения, духовного развития личности;
•	пропаганды здорового образа жизни, улучшения морально-психологического состояния граждан;
•	охраны, должного содержания, ремонта, реконструкции зданий, объектов и территорий, имеющих историческое, культурное, культовое, природоохранное и другое социальное значение;
•	охраны окружающей среды;
•	содействия деятельности в сфере профилактики и охраны здоровья граждан, а также пропаганды здорового образа жизни.
"
148,Фонд борьбы с лейкемией,"121069, г.Москва, Новинский бульвар, д.18, стр.1, помещение VIII",37.584667,55.755257,89164894854,info@leikozu.net,www.leikozu.net,"['Гематологические заболевания', 'Лечение заболеваний']",['Взрослый (18-59 лет)'],"
Описание благотворительной организации
Мы помогаем взрослым пациентам с онкологическими заболеваниями крови. У нас есть три программы: трансплантация костного мозга, адресная помощь пациентам и безвозмездное донорство крови. Адрес в интернете: www.leikozu.net На фейсбуке https://www.facebook.com/fund.leukemia/
"
149,"Барнаульский городской общественный благотворительный фонд ""Источник жизни""","656043, Алтайский край, Барнаул, ул. Пушкина, д. 78, офис 207",83.785346,53.330279,8(3852)63-87-27,istochnik_gizni@mail.ru,http://www.nashfond.ru/,"['Социальная помощь', 'Реабилитация и адаптация', 'Помощь в тяжелой жизненной ситуации', 'Правовая поддержка']","['Взрослый (18-59 лет)', 'Пожилой (старше 60 лет)']","
Описание благотворительной организации
В январе 2006 года в Барнауле был создан и зарегистрирован городской общественный фонд ""Источник жизни"". Его главной целью является оказание помощи нуждающимся в ней жителям нашего города.
Сегодня в фонде разработаны четыре специальные программы по оказанию помощи: ""Золотой рубль"", ориентированную на выдачу материальных средств, социальной помощи ""Жилье"" и ""Здоровье"", а также программа консультационной помощи ""Право"".
Источник информации: http://www.nashfond.ru/
"
150,"Благотворительный центр помощи детям ""Радуга""","644043, Омская область, Омск, ул. Красина, д. 4/1",73.364161,54.987053,8(3812)908-902,pr@raduga-omsk.ru,http://raduga-omsk.ru/,"['Неврологические и психоневрологические заболевания', 'Гематологические заболевания', 'Социальная помощь', 'Реабилитация и адаптация', 'Помощь в тяжелой жизненной ситуации', 'Онкологические заболевания', 'Сердечно-сосудистые заболевания', 'Лечение заболеваний', 'Заболевания опорно-двигательного аппарата', 'Зависимость', 'Наследственные/генетические заболевания', 'Сахарный диабет', 'Редкие (орфанные) заболевания', 'СПИД/ВИЧ/Гепатит', 'Паллиативная помощь', 'Другие заболевания органов и систем (дыхания, пищеварения, слуха, зрения, мочеполовой системы, печени, кожи, инфекционные заболевания, ожоги, дефекты внешности)', 'Нефинансовая/гуманитарная помощь', 'Волонтерская помощь']","['Ребенок (0-11 лет)', 'Подросток (12-17 лет)', 'Инвалид']","
Описание благотворительной организации
Основные направления деятельности ОРОО ""БЦПД ""Радуга"":
- Разработка и осуществление программ по социальной поддержке и защите детей;
- Привлечение средств для детей, нуждающихся в дорогостоящем лечении;
- Оказание помощи детским специализированным учреждениям города Омска и Омской области;
- Разработка и осуществление социальных программ по формированию здорового образа жизни у детей и подростков, а также социальных программ в области охраны природы.
Центр ""Радуга"" постоянно сотрудничает с медицинскими и образовательными учреждениями города и области, с органами местной исполнительной власти, с другими общественными организациями.
В основе работы Центра лежит инициатива граждан и добровольный труд волонтеров.
Фонд денежных средств благотворительного Центра формируется за счет свободных взносов и пожертвований предприятий, организаций, коммерческих фирм и отдельных граждан.
Если у Вас появится желание принять личное участие в благотворительных проектах — мы будем Вам рады!
"
151,"Благотворительный фонд помощи детям с тяжелыми заболеваниями, детям из неблагополучных семей и детям-сиротам ""Дети - детям""","125009, Москва, пер. Столешников, д. 7, стр. 3",37.613916,55.76365,8(499)784-19-96,info@deti-detyam.ru,http://deti-detyam.ru/,"['Социальная помощь', 'Реабилитация и адаптация', 'Помощь в тяжелой жизненной ситуации', 'Волонтерская помощь']","['Ребенок (0-11 лет)', 'Подросток (12-17 лет)']","
Описание благотворительной организации
Благотворительный фонд помощи ""Дети - детям"" не просто занимается сбором средств во время открытых публичных акций и направляет собранные деньги напрямую на лечение ребятишек и их реабилитацию, но позволяет сделать наш мир открытым к состраданию с самых малых лет.
Все наши акции в обязательном порядке проводятся, благодаря помощи друзей и партнеров фонда, с открытыми игровыми и спортивными детскими площадками, театральными представлениями, конкурсами, викторинами и прочим, на которых дети могут просто играть, общаться, радоваться, дружить и гордиться своими папами и мамами, теми — кто себя отдает во имя лечения своего ребенка, теми — кто помогает своими пожертвованиями другим!
Источник информация: http://deti-detyam.ru/
"
152,"Общественное движение ""Матери против наркотиков""","628418, Ханты-Мансийский Автономный округ, Сургут, ул. Лермонтова, д. 7/1",73.387804,61.264136,8(3462)32-06-11,odmpn@yandex.ru,http://odmpn.ru/,"['Социальная помощь', 'Психологическая помощь', 'Реабилитация и адаптация', 'Лечение заболеваний', 'Помощь в тяжелой жизненной ситуации', 'Зависимость', 'Правовая поддержка', 'Нефинансовая/гуманитарная помощь']","['Ребенок (0-11 лет)', 'Подросток (12-17 лет)', 'Взрослый (18-59 лет)']","
Описание благотворительной организации
Общественное движение ""Матери против наркотиков"" оказывает безвозмездную помощь наркозависимым и их родным и близким:
•	мотивирование на выздоровление;
•	помощь в устройстве на лечение и реабилитацию;
•	помощь в социализации после реабилитации (направление в центр занятости с последующим трудоустройством, помощь в получении профессии и другая адресная помощь).
Общественное движение осуществляет профилактическую антинаркотическую деятельность. По заявкам образовательных учреждений и других организаций проводится ролевая игра ""Суд над наркотиками"".
Источник информации: http://odmpn.ru/
"
153,"Нижегородская региональная общественная организация ""Детский проект""","603105, Нижегородская область, Нижний Новгород, ул. Ванеева, д. 127",44.048064,56.36103,8(910)792-51-30,None,http://детскийпроект.рф/,"['Социальная помощь', 'Психологическая помощь', 'Реабилитация и адаптация', 'Помощь в тяжелой жизненной ситуации', 'Правовая поддержка', 'Нефинансовая/гуманитарная помощь', 'Волонтерская помощь']","['Ребенок (0-11 лет)', 'Подросток (12-17 лет)', 'Сирота', 'Малоимущий/безработный/многодетная семья']","
Описание благотворительной организации
""Детский проект"" — некоммерческая организация, которая помогает детям-сиротам и детям в трудной жизненной ситуации. Мы хотим, чтобы дети жили в семье, и делаем для этого все, что в наших силах. Мы помогаем детям из детских домов найти приемных родителей. Мы занимаемся профилактикой социального сиротства - помогаем ""кризисным"" родителям избежать лишения родительских прав, а их детям - не попасть в детский дом. Мы помогаем выпускникам детских домов адаптироваться к жизни в социуме, а детям в детдомах - подготовиться к выпуску.
"
154,"Благотворительный фонд ""Здоровье и будущее детей""","194156, Санкт-Петербург, пр. Энгельса, д. 33, корп. 1",30.326405,60.009323,8(812)320-21-30,mail@chf-fund.spb.ru,http://chf-fund.spb.ru/,"['Социальная помощь', 'Гематологические заболевания', 'Реабилитация и адаптация', 'Онкологические заболевания', 'Лечение заболеваний', 'Помощь в тяжелой жизненной ситуации', 'Другие заболевания органов и систем (дыхания, пищеварения, слуха, зрения, мочеполовой системы, печени, кожи, инфекционные заболевания, ожоги, дефекты внешности)', 'Нефинансовая/гуманитарная помощь']","['Ребенок (0-11 лет)', 'Подросток (12-17 лет)']","
Описание благотворительной организации
Основной  целью фонда является оказание помощи в лечении детей, имеющих тяжелые заболевания, такие как онкология, гематология, нейроинфекции. Также мы помогаем детям с травмами позвоночника.
Фонд оказывает помощь и больницам, и родным пострадавшего ребенка. Это может быть и финансовая помощь и помощь медикаментами, необходимыми для лечения детей.
БФ ""Здоровье и будущее детей"" основной своей задачей ставит оказание экстренной помощи детям с тяжелыми заболеваниями.
Источник информации: http://chf-fund.spb.ru/
"
155,"Фонд социальной поддержки граждан, находящихся в трудной жизненной ситуации «Безопасный дом»","119034, Москва, Мансуровский пер., д. 6, офис 3",37.595258,55.74033,8(926)073-95-75,jewelgirls@yandex.ru,http://www.safehouse.foundation/,"['Социальная помощь', 'Психологическая помощь', 'Реабилитация и адаптация', 'Помощь в тяжелой жизненной ситуации']","['Ребенок (0-11 лет)', 'Подросток (12-17 лет)', 'Взрослый (18-59 лет)', 'Инвалид', 'Сирота', 'Беженец/мигрант', 'Малоимущий/безработный/многодетная семья', 'Бездомный', 'Пострадавший от стихийных бедствий/катастроф/войн']","
Описание благотворительной организации
МИССИЯ: создание условий для оказания комплексной помощи людям, оказавшимся в трудной жизненной ситуации, в т.ч. в ситуациях торговли людьми и разных видов насилия.

ВИДЕНИЕ: снижение риска вовлечения детей и молодежи в ситуации торговли людьми, эксплуатации и насилия.
ЦЕЛЕВАЯ ГРУППА: дети и молодежь из групп риска; люди, пострадавшие от насилия, эксплуатации, торговли людьми.
ПРОГРАММЫ:
JEWELGIRLS - программа арт-терапии для детей и молодежи из групп риска и пострадавших от насилия и эксплуатации (находящихся в детских домах и интернатах, детей улиц, с ограниченными возможностями здоровья, ""маленьких мам""). Помимо обучения профессиональному навыку изготовления бижутерии, участники программы получают дополнительные материальные средства, проходят тренинги по финансовому менеджменту, безопасному поведению, получают социальную и психологическую помощь. Украшения и другие сувениры, выполненные участниками программы, представлены на сайте jewelgirls.ru и в соц. сетях vk.com/jewelgirls, facebook.com/jewelgirlspage. 
РАССКАЖИ ДРУЗЬЯМ - тренинги для групп риска, а также информационные мероприятия для населения с целью повышения осведомленности населения о проблеме торговли людьми.
ШАРМ АЛАРМ - программа предотвращения торговли женщинами и девочками с помощью специального сайта для девушек из групп риска charmalarm.ru
ТРЕНИНГИ ДЛЯ СПЕЦИАЛИСТОВ - обучение специалистов и волонтеров выявлению групп риска и пострадавших от насилия, эксплуатации и торговли людьми для повышения эффективности оказываемой помощи, в том числе перенаправления в специализированные учреждения и организации.
"
156,"Межрегиональная общественная организация ""Содействие больным саркомой""","109383, г. Москва, Проектируемый проезд №5113, д.6, стр. 1",37.704763,55.661709,+7 (925) 750-63-00,post@sarcoma.pro,http://sarcoma.pro,"['Онкологические заболевания', 'Лечение заболеваний']","['Ребенок (0-11 лет)', 'Подросток (12-17 лет)', 'Взрослый (18-59 лет)', 'Пожилой (старше 60 лет)', 'Инвалид']","
Описание благотворительной организации
Организация юридически оформилась в 2010 году. Но фактически, все началось значительно раньше, с конца 90-х годов с объединения больных ""на 7-м этаже"", которые общались во время лечения в Москве в РОНЦ им. Н.Н. Блохина и МНИОИ им. Герцена.
Большинству людей очень важно не остаться один на один с болезнью, особенно в начальный период лечения. Это самый тяжелый момент, и для самих больных, и для их  близких.  Люди уходят в себя, им кажется, что уже ничего хорошего их впереди не ждет. Но, если они начинают активно общаться с такими же больными, как и они сами, то у них появляется возможность увидеть, что все не так страшно! У одного протез, у другого эндопротез, у одного две «химии», другой двадцать «химий» прошел – все люди разные, но все держатся вместе, общаются, дружат.  Наш девиз «Спасение утопающих дело рук самих утопающих», и волонтерами, в этой ситуации часто оказываются сами больные.
Так в нашей организации появились Саркоминки, и даже есть свой фирменный праздник - Общий День Рождения. Третья суббота мая – ежегодно. На этом празднике  встречаются и те, кто  еще лечится, и те, кто лечился в прошлом, и каждый обязательно приезжает со своим подарком. Потом из этих подарков устраивается лотерея, и получается, что пришел с подарком, и уходишь с подарком, бывает, что и со своим. Но самое главное, встречая старых друзей, обзаводишься и новыми, а для «новеньких», встреча с людьми, которые прошли лечение, реабилитацию, многочисленные проверки, и вернулись к обычной жизни, является прекрасным примером для подражания.
Основная цель нашей Организации – повысить качество жизни онкологических больных и их близких.
Задачами Организации являются:
 - представление и защита интересов пациентов с онкологическими заболеваниями, их психологическая и информационная поддержка, содействие расширению и реализации установленных им льгот и преимуществ;
 - объединение усилий органов государственной власти, некоммерческих и коммерческих организаций и отдельных граждан, изъявивших желание помочь работе Организации, с целью активного решения медицинских, социальных и других проблем пациентов c онкологическими заболеваниями;
 - осуществление благотворительной деятельности, участие в благотворительных кампаниях и пропаганде благотворительности.
 Организация входит в состав Совета общественных организаций по защите прав пациентов при Министерстве здравоохранения Российской Федерации http://www.rosminzdrav.ru/health/med-service/157  (Приказ от 23 октября 2012 г. №437 ""О Совете общественных организаций по защите прав пациентов при Министерстве здравоохранения Российской Федерации"")
"
157,Благотворительный Фонд Олега Кондрашова,"603001, Нижегородская область, Нижний Новгород, Нижне-Волжская наб. д. 17",43.985676,56.328514,8(831)430-90-55,fond-kondrashova@yandex.ru,http://fond-kondrashova.ru/ru/main,"['Социальная помощь', 'Психологическая помощь', 'Реабилитация и адаптация', 'Помощь в тяжелой жизненной ситуации', 'Правовая поддержка', 'Нефинансовая/гуманитарная помощь', 'Волонтерская помощь']","['Ребенок (0-11 лет)', 'Подросток (12-17 лет)', 'Взрослый (18-59 лет)', 'Малоимущий/безработный/многодетная семья']","
Описание благотворительной организации
Первая и единственная благотворительная организация Нижнего Новгорода, созданная при непосредственном участии главы администрации для адресной помощи многодетным семьям.
Источник информации: http://fond-kondrashova.ru/ru/main
"
158,"Благотворительный фонд поддержки детских домов ""Футбол – детям""","109147, Москва, ул. Марксистская, д. 1",37.658571,55.740532,8(964)763-95-08,motin83@gmail.com,http://pasdobra.ru/,"['Социальная помощь', 'Реабилитация и адаптация']","['Ребенок (0-11 лет)', 'Подросток (12-17 лет)', 'Сирота']","
Описание благотворительной организации
Развитие спортивной инфраструктуры в детских домах.
Создание и эффективная реализация программы помощи и поддержки детей-сирот.
Привлечение средств в социальный сектор.
Адресная помощь детям-сиротам и детям, оставшихся без попечения родителей.
Адресная помощь детям из неблагополучных и малообеспеченных семей.
Проведение благотворительных аукционов.
Участие в организации благотворительных проектов коммерческих структур.
Прививание детям здорового образа жизни.
Привлечение детей из детских домов на футбольные матчи.
Приобретение необходимых товаров для детских домов.
Привлечение внимания общественности к социальной сфере.
Развитие благотворительности; воспитание милосердия.
Развитие социальных инвестиций, благотворительной помощи.
Источник информации: http://pasdobra.ru/
"
159,"АНО ""Центр профилактики преступлений ""Родители за мир без преступности, насилия и наркотиков""","МО, Красногорск, Ул. Пушкинская, д. 21, офис 59
",37.124155,55.870622,8(499)643-83-18,roditelizamir@gmail.com,http://roditelizamir.ru/,"['Социальная помощь', 'Психологическая помощь', 'Реабилитация и адаптация', 'Помощь в тяжелой жизненной ситуации']","['Ребенок (0-11 лет)', 'Подросток (12-17 лет)']","
Описание благотворительной организации
Центр профилактики преступлений «Родители за мир без преступности, насилия и наркотиков» был создан по инициативе неравнодушных родителей и зарегистрирован 7 мая 2013 г. в г. Красногорск, МО.
Мы, родители, объединились с целью возрождения моральных, культурных и общечеловеческих ценностей. Наша задача — не допустить нравственного упадка, разложения семейных традиций, что ведет к неизменяемому росту преступности и к вырождению нации и культуры.
"
160,"Региональный благотворительный фонд ""Теплый дом""","454091, Челябинская область, Челябинск, пр. Ленина, д. 31",60.692974,55.767413,8(351)265-22-98; 8(351)265-26-41,warm-home@mail.ru,http://warm-home.ru/,"['Нефинансовая/гуманитарная помощь', 'Социальная помощь', 'Реабилитация и адаптация']","['Ребенок (0-11 лет)', 'Подросток (12-17 лет)', 'Сирота', 'Малоимущий/безработный/многодетная семья', 'Бездомный']","
Описание благотворительной организации
Основная цель и задача регионального благотворительного фонда ""Теплый дом"" - решение проблемы сиротства.
С мая 2002 года фонд ""Теплый Дом"" совершает служение обездоленным детям. На сегодня каждый нуждающийся ребенок пять раз в неделю может получить полноценный обед. Проблемы и нужды каждого ребенка мы стараемся рассматривать индивидуально. Всех нужно понять, ведь абсолютно разные дети обращаются к нам за помощью.
У каждого своя история: кому-то тяжело приходится в малообеспеченной семье, кто-то сбегает от пьющих родителей, а кто-то вынужден искать себе приют на чердаке, в подвале или в трубе.
Нам важно не только накормить, отмыть и обеспечить досуг каждого беспризорника. Не менее важно — привить любовь к Богу, поддержать ребят в поисках себя, семейной гармонии, настоящих друзей, научить мечтать и идти к своей мечте.
Дважды в неделю мы проводим футбольные матчи — это помогает ребятам развиваться физически и занимает их, отвлекая от занятий непотребными вещами. Участие в творческих занятиях, интеллектуальных играх, библейских часах, субботниках развивает в ребятах любовь к труду и своему городу, ответственность за него.
1. ""Мост-надежды"". Цель этого проекта — реабилитация детей, оставшихся без надзора. Ребят необходимо вернуть в социум. Социальные работники и инструкторы организуют с детьми походы и сплавы по рекам. В это время детям удается забыть о прошлом и обрести стремление измениться к лучшему, отказаться от дурных привычек, вернуться в детский дом или в семью.
2. Дневной реабилитационный центр и лагерь ""Теплый Дом"" - Лагерь был передан нам государством для того, чтобы мы организовали там негосударственный приют семейного типа, где ""уличные дети"" и дети, проживающие в государственных приютах, смогли бы обрести семью.
Различные мероприятия, необходимые детям, проходят параллельно. К ним относятся: День защиты детей для детей-инвалидов из детских домов и социальных приютов города и области, а также для детей-сирот, ежегодный проект Спортивная Детская Олимпиада ""Звездочка детства"", Рождественские праздники. Эти мероприятия радуют детей и помогают им раскрыть свои таланты и способности.
Источник информации: www.warm-home.ru
"
161,"Региональная благотворительная общественная организация Новосибирской области ""Поможем детям - вместе!""","633009, Новосибирская Область, Бердск, ул. Рогачева, д. 32, пом. 114",,,8(913)947-76-38,pomogem-vmeste2012@ngs.ru,http://pomogemvmeste.org/,"['Социальная помощь', 'Помощь в тяжелой жизненной ситуации', 'Нефинансовая/гуманитарная помощь', 'Волонтерская помощь']","['Ребенок (0-11 лет)', 'Подросток (12-17 лет)', 'Сирота', 'Малоимущий/безработный/многодетная семья']","
Описание благотворительной организации
Региональная благотворительная общественная организация Новосибирской области ""Поможем детям - вместе!"" создана для координации и оказания добровольной посильной помощи детям, оставшимся без попечения родителей, детям с ограниченными возможностями здоровья, детским домам, детским больницам, малообеспеченным и многодетным семьям, где есть несовершеннолетние дети. Так же организация занимается оказанием экстренной помощи погорельцам и семьям с детьми, попавшим в трудную жизненную ситуацию.
Организация ""Поможем детям - вместе!"" всегда готова принять помощь в виде детских вещей, канцелярии и игрушек для последующей их передачи нуждающимся. Если вы готовы пожертвовать что-либо из перечисленного, позвоните по телефонам:
8(913)777-72-92 - Сергей
8(913)940-27-91 - Любовь
8(913)947-76-38 - Елена
Источник информации: http://pomogemvmeste.org/
"
162,"Челябинский региональный благотворительный фонд ""Родная""","454016, Челябинская область, Челябинск, ул. Университетская наб., д. 32",61.34693,55.17502,8(351)796-64-87,None,http://spasiborodnaya.ru/,"['Социальная помощь', 'Психологическая помощь', 'Реабилитация и адаптация', 'Помощь в тяжелой жизненной ситуации', 'Правовая поддержка', 'Нефинансовая/гуманитарная помощь', 'Волонтерская помощь']","['Ребенок (0-11 лет)', 'Подросток (12-17 лет)', 'Малоимущий/безработный/многодетная семья']","
Описание благотворительной организации
Миссия Фонда - содействие благополучию семьи и детства. Цель Фонда - объединение ресурсов для создания благоприятного климата семьи и детства.
Целевая группа - семьи и дети.
Задачи Фонда:
- Пропаганда устойчивых моделей семейного благополучия.
- Просвещение по вопросам семьи и детства, правовой культуры.
- Создание позитивных образов благополучной семьи.
- Поддержка института семьи и детства.
Источник информации: http://spasiborodnaya.ru/
"
163,"Благотворительный Фонд ""Детям о Детях""","109462, Москва, Волжский б-р, д. 25, корп. 1",37.749472,55.704377,8(495)769-48-39,marr.po@gmail.com,http://kidz2kidz.ru/,"['Социальная помощь', 'Психологическая помощь', 'Реабилитация и адаптация', 'Нефинансовая/гуманитарная помощь']",['Инвалид'],"
Описание благотворительной организации
Благотворительный Фонд ""Детям о Детях"" – это российская некоммерческая организация, созданная для того, чтобы включать детей с инвалидностью в активную социальную жизнь.
Миссия Фонда: реализация программ социальной адаптации детей с инвалидностью, развитие детской культурной среды с учетом интересов детей с инвалидностью, поддержка инклюзивного движения в России.
Идеи Фонда ""Детям о Детях"":
•	Ребенку необходим постоянный диалог со взрослым. Обсуждение непростых тем (например, таких как инвалидность) особенно важно в детском возрасте – ведь отношение к ним формируется именно в детстве.
•	Задача взрослых – помочь детям наладить общение. Сделать так, чтобы дети с инвалидностью чувствовали себя более уверенно, а их ровесники поняли, что физические особенности – это не повод кого-то бояться или избегать.
•	Фонд ""Детям о Детях"" делает возможным обсуждение инвалидности с детьми и предлагает для этого эффективные и подходящие для детской аудитории методы.
Задачи Фонда ""Детям о Детях"":
•	Основной проект Фонда сегодня – это анимационный проект ""Подарок для Алисы"", который подразумевает создание и продвижение детского игрового анимационного фильма о девочке с инвалидностью и ее друзьях.
•	Проведение в рамках проекта ""Подарок для Алисы"" тематических мероприятий для детей с инвалидностью и без.
•	Подборка детских произведений, затрагивающих тему инвалидности.
•	Распространение информации об инклюзивном движении в России, в частности – об образовательных учреждениях Москвы, практикующих инклюзивный подход.
•	Содействие повышению культуры инвалидности в России.
Источник информации: http://kidz2kidz.ru/
"
164,"Международный благотворительный центр ""Надежда""","426077, Удмуртская Республика, Ижевск, ул. Удмуртская, д. 155, оф. 81",53.329116,56.962655,8(3412)52-96-07,hopecenter@yandex.ru,http://www.hopecenter.ru/,"['Социальная помощь', 'Психологическая помощь', 'Реабилитация и адаптация', 'Правовая поддержка', 'Нефинансовая/гуманитарная помощь']","['Ребенок (0-11 лет)', 'Подросток (12-17 лет)', 'Инвалид', 'Сирота', 'Малоимущий/безработный/многодетная семья']","
Описание благотворительной организации
Основные формы деятельности:
1. Оказание материальной поддержки остро нуждающимся людям (в первую очередь детям-сиротам, инвалидам, многодетным семьям).
2. Привлечение людей и организаций к делам милосердия и благотворительности.
Для претворения в жизнь поставленной цели Международный благотворительный Центр ""Надежда"" планирует и осуществляет различные благотворительные программы с привлечением как можно большего количества людей и организаций, как нуждающихся в помощи, так и имеющих возможность ее оказать.
Так, уже более 4 лет реализуется программа психологической поддержки для мам детей с ограниченными возможностями ""Помогите маме"". Программа также включает в себя помощь продуктами питания, одеждой, средствами гигиены,  в необходимых случаях - психологическую и правовую помощь семьям, оказавшимся в трудной жизненной ситуации:
- молодым мамам из числа бывших воспитанниц детских домов и школ- интернатов;
- многодетным малообеспеченным семьям;
- одиноким женщинам, воспитывающим двух и более детей либо ребенка с ограниченными возможностями;
- лицам из числа бывших воспитанников школ-интернатов и детских домов, освободившихся из мест заключения;
Другие программы:
1. ""Будущее начинается сегодня"" -  работа с детьми-сиротами и выпускниками детских-домов и школ-интернатов.
Задачи проекта:
- содействие в социализации детей-сирот;
- наставничество на основе развития длительных дружеских отношений с  детьми-сиротами (еженедельные встречи,  совместный организованный отдых на природе и т.п.).
2. ""Чужих детей не бывает"" - клуб для опекунов, приемных родителей и тех, кто хочет ими стать.
Задачи проекта:
-  подготовка родителей, желающих и способных воспитывать в своих семьях детей-сирот, а также тех, кто задумывается о такой возможности;
- сопровождение и помощь (медико-психологическая, юридическая и материальная поддержка в процессе воспитания приемных детей).
"
