,name,affiliation,Страна,Дата рождения,Дата пострига,Дата хиротонии,Дата смерти,День ангела,Епархия,Место работы,Образование,Биография,Награды,"Научные труды, публикации",E-mail,Web-сайт,link,image_link
64,"Аристарх, епископ Николаевский, викарий Хабаровской епархии (Яцурин Владимир Петрович)",Епископат РПЦ,Россия,16 октября 1965 г.,19 декабря 1991 г.,25 января 2012 г.,,17 января,"Хабаровская епархия  
 (Викарный архиерей)",,1991 г. — Московская духовная семинария. Московская духовная академия.,"Родился 16 октября 1965 г. в г. Загорске (Сергиев Посад). Отец — Яцурин Петр Иванович (р. 1940), в постриге иеромонах Алексий, насельник Свято-Смоленской Зосимовой мужской пустыни; мать — Дина Гавриловна (1938-2011), в постриге монахиня Феофания. В 1982 г. закончил среднюю школу № 14 г. Ногинска. В 1982-1985 гг. учился в Новогиреевском медицинском училище № 12 . Получил диплом фельдшера выездной бригады и работал на скорой и неотложной помощи в г. Москве. В 1985-1987 гг. служил в армии. В 1987-1991 гг. обучался в  Московской духовной семинарии . 19 декабря 1991 г. в Троицком соборе  Троице-Сергиевой лавры  наместником обители  архимандритом Феогностом (Гузиковым)  пострижен в монашество с именем Аристарх в честь апостола от 70-ти Аристарха, епископа Апамейского. 21 июня 1992 г.  епископом Аргентинским и Южноамериканским Марком  рукоположен во иеродиакона. 12 сентября 1993 г.  архиепископом Солнечногорским Сергием  рукоположен во иеромонаха. С сентября 1993 г. по декабрь 1995 г. служил на  московском подворье  Троице-Сергиевой лавры. В 1995 г. удостоен права ношения набедренника. 15 января 1996 г. направлен в штат  Хабаровской епархии , 29 января назначен настоятелем кафедрального собора Рождества Христова г. Хабаровска. 25 февраля 1996 г.  епископом Хабаровским и Приамурским Марком  возведен в сан игумена с возложением наперсного креста. 8 апреля 1996 г. назначен благочинным 1-го Хабаровского округа. 9 апреля 1997 г. награжден палицей. 4 февраля 2000 г. награжден крестом с украшениями. С 14 февраля 2000 г. по 31 марта 2003 г. служил настоятелем прихода св. апостола Иакова г. Биробиджан ЕАО. 29 мая 2003 г. назначен настоятелем прихода св. Георгия Победоносца пгт. Эльбан Амурского района Хабаровского края. Решением Священного Синода от 5-6 октября 2011 г. ( журнал № 137 ) избран епископом Амурским и Чегдомынским. 30 октября 2011 г.  возведен  в сан архимандрита. Решением Священного Синода от 27-28 декабря 2011 г. ( журнал № 148 ) назначен епископом Николаевским, викарием  Хабаровской епархии . 31 декабря 2011 г. в Тронном зале Храма Христа Спасителя  наречен , 25 января 2012 г. за Божественной литургией в  храме св. мц. Татианы при МГУ  в Москве  хиротонисан  во епископа Николаевского, викария Хабаровской епархии. Богослужения возглавил Святейший Патриарх Московский и всея Руси Кирилл.",,"Слово  архимандрита Аристарха (Яцурина) при наречении во епископа Николаевского, викария Хабаровской епархии.",khveparhia@yandex.ru,www.pravostok.ru,http://www.patriarchia.ru/db/text/1649376.html,http://p2.patriarchia.ru/2013/09/07/1234118706/1107_an.jpeg
65,"Аристарх, митрополит Кемеровский и Прокопьевский (Смирнов Вадим Анатольевич)",Епископат РПЦ,Россия,17 января 1959 г.,27 марта 1998 г.,20 августа 2006 г.,,28 апреля,"Кемеровская епархия 
 (Правящий архиерей)","Кузбасская митрополия 
 (Глава митрополии)",1984 г. — Московская духовная семинария. 1988 г. — Московская духовная академия (кандидат богословия).,"Родился 17 января 1959 г. в г. Кемерово. После окончания средней школы поступил в Кузбасский Политехнический институт, который закончил в 1981 г. по специальности горный инженер. Обучаясь в институте, закончил специальный факультет общественных профессий и защитил диплом переводчика-референта. По окончании обучения в институте несколько месяцев работал в библиотеке МДА в качестве сотрудника. В 1982-1984 гг. обучался в  Московской духовной семинарии , в 1984-1988 гг. — в Московской духовной академии, защитил диссертацию на соискание ученой степени кандидата богословия. После завершения обучения в академии оставлен преподавателем МДА (с 10 октября 1988 г.). Одновременно назначен на административную работу: сначала помощником инспектора Московских духовных школ (с 16 ноября 1988 г.), затем старшим помощником проректора по воспитательной работе МДАиС (с 1 января 1991 г.). 27 марта 1998 г. ректором Московских духовных школ  епископом Верейским Евгением  пострижен в монашество с именем Аристарх в честь апостола от семидесяти Аристарха, еп. Апамейского. 4 апреля 1998 г. епископом Верейским Евгением в Покровском Академическом храме поставлен во чтеца, 7 апреля — рукоположен в сан иеродиакона, 19 июля — рукоположен в сан иеромонаха. К Пасхе 1999 г.  Святейшим Патриархом Алексием II  награжден наперсным крестом. К пасхе 2000 г. архиепископом Верейским Евгением по благословению Святейшего Патриарха Алексия II возведен в сан игумена. Преподавал и занимался административной работой в качестве старшего помощника проректора МДАиС до июня 2001 г., когда указом Святейшего Патриарха Алексия II был переведен на послушание в  Троице-Сергиеву лавру . Являясь насельником лавры, нес послушание руководителя архитектурного отдела Патриаршего архитектурно-реставрационного центра, а затем заместителя эконома обители. 8 октября 2002 г. указом Святейшего Патриарха Алексия II назначен келарем объединенного хозяйства лавры и Московских духовных школ. 16 апреля 2004 г., ко дню Святой Пасхи, Святейшим Патриархом Алексием II награжден палицей. 27 апреля 2006 г., ко дню Святой Пасхи, Святейшим Патриархом Алексием II удостоен права ношения креста с украшением. Решением Священного Синода от 17 июля 2006 г. избран епископом Кемеровским и Новокузнецким. 21 июля 2006 г. за богослужением в  Казанском соборе  на Красной площади в Москве возведен в сан архимандрита. Хиротонисан 20 августа за Божественной литургией в кафедральном соборном  Храме Христа Спасителя  в Москве. Богослужения возглавил Святейший Патриарх Алексий II. Решением Священного Синода от 26 июля 2012 г. ( журнал № 65 ) присвоен титул Кемеровский и Прокопьевский, назначен главой новообразованной  Кузбасской митрополии . 1 августа 2012 г.  возведен  в сан митрополита. С июля 2012 г. по сентябрь 2014 г. временно управлял  Новокузнецкой епархией .",Церковные: 2005 г. — орден прп. Сергия Радонежского III ст. Светские: 2015 г. —  юбилейная медаль  «50 лет городу Березовский» 2014 г. — «Лауреат премии Кузбасса»; 2008 г. —  медаль  Кемеровской области «За особый вклад в развитие Кузбасса» III ст.,,kemup@yandex.ru,http://mitropolia42.ru,http://www.patriarchia.ru/db/text/133342.html,http://p2.patriarchia.ru/2012/08/01/1234438668/1VSN_8459.JPG
66,"Аркадий, епископ (на покое) (Афонин Александр Петрович)",Епископат РПЦ,Россия,15 июля 1943 г.,29 декабря 1966 г.,21 апреля 1991 г.,,,,,,"Родился 15 июля 1943 г. в с. Чекалине Сергиевского р-на Куйбышевской обл. 29 декабря 1966 г. принял монашеский постриг. 15 февраля 1967 г. рукоположен во иеродиакона, 9 марта 1969 г. — во иеромонаха. В 1974 г. возведен в сан игумена, в 1988 г. — в сан архимандрита, служил в  Калужской епархии . 21 апреля 1991 г. хиротонисан во епископа на новообразованную Магаданскую и Камчатскую кафедру. С 22 февраля 1993 г. — епископ Южно-Сахалинский и Курильский, с 3 октября 1997 г. — епископ Томский и Асинский, с 6 октября 1998 г. — епископ Ветлужский, викарий  Нижегородской епархии . С 29 декабря 1999 г. — епископ Южно-Сахалинский и Камчатский. 17 июля 2001 г. почислен на покой по состоянию здоровья на основании собственного прошения.",Церковные: 2013 г. —  орден  прп. Серафима Саровского II ст.,,,,http://www.patriarchia.ru/db/text/60799.html,http://p2.patriarchia.ru/2012/02/14/1234628525/5.jpg
67,"Аркадий, епископ Овидиопольский, викарий Одесской епархии (Таранов Александр Борисович)",Епископат РПЦ,Украина,11 марта 1957 г.,8 марта 1982 г.,4 августа 2012 г.,,19 марта,"Одесская епархия 
 (Викарный архиерей)",,1982 г. — Одесская духовная семинария. 2002 г. — Киевская духовная академия.,"Родился 11 марта 1957 г. в рабочем поселке Ясеновский Луганской обл. Украины. В 1973 г. закончил среднюю школу, после чего в течение двух лет обучался в железнодорожном училище г. Папасное Донецкой обл. В 1975-1977 гг. проходил срочную службу в рядах Вооруженных сил. После демобилизации некоторое время работал помощником машиниста тепловоза в г. Антрацит. В 1978-1982 гг. обучался в Одесской духовной семинарии. В 1981 г. поступил послушником в Одесский Свято-Успенский мужской монастырь. 8 марта 1982 г. наместником монастыря архимандритом Вадимом (Семяшко) пострижен в малую схиму с именем Аркадий в честь прп. Аркадия Кипрского. 22 марта 1982 г. митрополитом Сергием (Петровым) рукоположен в сан иеродиакона, а 6 января 1983 г. — во иеромонаха. В 1981-1990 гг. — насельник Свято-Успенского Одесского монастыря. Нес послушание помощника благочинного, заведовал просфорней. В 1990 г. митрополитом Леонтием (Гудимовым) возведен в сан игумена, в том же году 13 ноября назначен настоятелем храма святых мучеников Адриана и Наталии г. Одесса. Определением Священного Синода УПЦ от 11 марта 1993 г. назначен наместником Свято-Пантелеимоновского Одесского мужского монастыря. В 1986 г. митрополитом Сергием (Петровым) награжден наперсным крестом. В 1993 г. награжден правом ношения креста с украшениями. В 2000 г. награжден правом служения с жезлом. В 1996 г.возведен в сан архимандрита. В 2002 г. окончил  Киевскую духовную академию . В 2009 г. был делегатом Поместного Собора Русской Православной Церкви, в 2011 г. — членом юбилейного Собора Украинской Православной Церкви. Решением Синода УПЦ от 20 июля 2012 г. ( журнал № 68 )  избран  епископом Овидиопольским, викарием  Одесской епархии . Наречен во епископа 3 августа 2012 г. в храме Всех святых киевского Свято-Пантелеимонова монастыря в Феофании.  Хиротонисан  4 августа в соборном храме Свято-Пантелеимонова монастыря в Феофании. Богослужения возглавил  Блаженнейший митрополит Киевский и всея Украины Владимир .",Церковные: орден св. равноап. кн. Владимира I-III ст.; орден прп. Нестора Летописца II ст.; юбилейный орден и медаль в честь 2000-летия Рождества Христова; юбилейная медаль в честь 10-летия Харьковского Собора.,,,www.pravoslav.odessa.net,http://www.patriarchia.ru/db/text/2386193.html,http://p2.patriarchia.ru/2017/03/10/1236429763/4409_aeo.jpg
68,"Арсений, епископ Юрьевский, викарий Новгородской епархии (Перевалов Денис Юрьевич)",Епископат РПЦ,Россия,15 февраля 1979 г.,27 июня 2005 г.,3 мая 2016 г.,,,"Новгородская епархия 
 (Викарный архиерей)",,2001 г.  — Санкт-Петербургская духовная семинария. 2005 г.  — Санкт-Петербургская духовная академия.,"Родился 15 февраля 1979 г. в г. Алмалык Ташкентской обл. Республики Узбекистан в семье служащих. Крещен в храме Успения Божией Матери г. Алмалыка в 1990 г. В 1986-1996 гг. обучался в средней школе № 11 г. Алмалыка. В 1996-1998 гг. обучался в межъепархиальном духовном училище г. Ташкента. В 1998 г. переехал в г. Великий Новгород, откуда по благословению  архиепископа Новгородского и Старорусского Льва  был направлен на учебу в  Санкт-Петербургскую духовную семинарию . В 2001 г. окончил Санкт-Петербургскую духовную семинарию и продолжил обучение в Санкт-Петербургской духовной академии. В 2005 г. после окончания академии направлен в  Новгородскую епархию . 20 июня 2005 г. в Георгиевском соборе Юрьева мужского монастыря г. Великого Новгорода архиепископом Новгородским Львом рукоположен в сан диакона; 21 июня зачислен в число братии Юрьева монастыря; 27 июня в Крестовоздвиженском соборе Юрьева монастыря архиепископом Львом пострижен в монашество; 1 июля в Варлаамо-Хутынском монастыре архиепископом Львом рукоположен в сан иеромонаха. 1 сентября 2005 г. назначен преподавателем предметов «Общецерковная история» и «Патрология» в Новгородском духовном училище. 23 ноября 2006 г. назначен на должность инспектора Новгородского духовного училища. 1 июня 2008 г. назначен исполняющим обязанности наместника Юрьева монастыря. Решением Священного Синода от 16 апреля 2016 г. ( журнал № 7 ) избран епископом Юрьевским, викарием Новгородской епархии. 21 апреля 2016 г. за Литургией в Софийском соборе г. Великого Новгорода митрополитом Новгородским и Старорусским Львом  возведен  в сан архимандрита. Наречен  во епископа 23 апреля 2016 г. в Тронном зале Храма Христа Спасителя в Москве.  Хиротонисан  3 мая за Литургией в  Свято-Троицкой Сергиевой лавре . Богослужения возглавил Святейший Патриарх Московский и всея Руси Кирилл.",,"Слово  архимандрита Арсения (Перевалова) при наречении во епископа Юрьевского, викария Новгородской епархии.",noveparhia@mail.ru,www.vn-eparhia.ru,http://www.patriarchia.ru/db/text/4437000.html,http://p2.patriarchia.ru/2016/05/07/1238742746/3.jpg
69,"Арсений, игумен (Соколов Андрей Павлович)",Деятели Русской Православной Церкви,Сирия,1968 г.,1992 г.,1997 г.,,,,,1995 г. — Московская духовная семинария (заочно). 1998 г. — Московская духовная академия (заочно). 1999-2000 гг. — стажировка в Папском Библейском институте в Риме.,"Представитель Патриарха Московского и всея Руси при Патриархе Антиохии и всего Востока Родился в 1968 г. в г. Шарья Костромской обл. С 1976 г. жил и учился в г. Лесосибирске Красноярского края. В 1985-1986 гг. учился в Рижском летно-техническом училище гражданской авиации. В 1986-1988 гг. служил в Военно-воздушных силах на территории Монголии. В 1989-1992 гг. учился на историческом факультете Томского государственного университета. В 1992 г.  епископом Красноярским и Енисейским Антонием  пострижен в монашество и поставлен в иеродиаконы с назначением в клир Успенского кафедрального собора г. Енисейска. В 1997 г. епископом Красноярским и Енисейским Антонием поставлен в иеромонахи и назначен председателем епархиального отдела по взаимодействию с пенитенциарными учреждениями. В 1996-1998 гг. преподавал патрологию на Красноярских епархиальных пастырско-богословских курсах. В 1993 г. поступил на заочный сектор Московской духовной семинарии, которую окончил в 1995 г. В 1998 г. заочно окончил  Московскую духовную академию . В 1999-2000 гг. стажировался в Папском Библейском институте в Риме. В 2003 г. защитил в Московской духовной академии кандидатскую диссертацию на тему «Книга Иисуса Навина: опыт историко-экзегетического анализа» (научный руководитель — протоиерей Леонид Грилихес). Ученым советом МДА работа рекомендована в качестве учебного пособия для студентов духовных учебных заведений. В 2001 г. Священным Синодом назначен настоятелем новообразованного Христорождественского прихода в Мадриде, Испания. В 2001-2003 гг. по поручению председателя  ОВЦС   митрополита Смоленского и Калининградского Кирилла  и  епископа Корсунского Иннокентия  осуществлял также организацию церковно-приходской жизни на новообразованных приходах в других крупных городах Пиренейского полуострова: Барселоне (Испания), Малаге (Испания), Лиссабоне (Португалия), Порто (Португалия). В 2003-2013 гг. — настоятель Всехсвятского прихода в Лиссабоне. К Пасхе 2009 г. Святейшим Патриархом Московским и всея Руси Кириллом возведен в сан игумена. В 2012 г. защитил в  Общецерковной аспирантуре и докторантуре  докторскую диссертацию на тему «Книга пророка Амоса: историко-филологическая, традиционная еврейская и святоотеческая экзегеза» (научный консультант — М.Г. Селезнев). Решением Священного Синода от 25-26 декабря 2013 г. ( журнал № 165 ) освобожден от должности настоятеля Всехсвятского прихода в Лиссабоне и назначен настоятелем подворья Русской Православной Церкви в Бейруте (Ливан) и представителем Патриарха Московского и всея Руси при Патриархе Антиохии и всего Востока. Решением Священного Синода от 29 июля 2017 г. ( журнал № 59 ) включен в состав  Двусторонней комиссии по диалогу между Русской Православной Церковью и Сиро-Яковитской Церковью . Решением Священного Синода от 7 марта 2018 г. ( журнал № 15 ) освобожден от должности настоятеля подворья Русской Православной Церкви в Бейруте, Ливан. Владеет итальянским, испанским, португальским и французским языками.",,"Книга Иисуса Навина: опыт историко-экзегетического анализа (кандидатская диссертация). Книга пророка Амоса: историко-филологическая, традиционная еврейская и святоотеческая экзегеза (докторская диссертация). Книга Иисуса Навина. М.: Изд-во Крутицкого подворья, 2005. Книга пророка Амоса: введение и комментарий. Москва, Изд-во Новоспасского монастыря, 2012. Иберийская тетрадь. Лиссабон: Porturusso, 2013. Буква и Дух. Сборник статей и докладов по библеистике. Бейрут: Meouchy & Zakaria, 2016. Пророк и блудница. Комментарий к 1-3 главам книги пророка Осии. М.: Изд-во ББИ, 2016.",arsenij2001@mail.ru,http://ruspodvorie.wordpress.com,http://www.patriarchia.ru/db/text/3614747.html,http://p2.patriarchia.ru/2014/03/31/1235299017/1Arseniy.jpg
70,"Арсений, митрополит Истринский, первый викарий Святейшего Патриарха Московского и всея Руси (Епифанов Юрий Александрович)",Епископат РПЦ,Россия,3 марта 1955 г.,30 сентября 1989 г.,5 октября 1989 г.,,25 июня,"Московская епархия (городская) 
 (Первый викарий Патриарха Московского и всея Руси по г. Москве)",,1979 г. — Московская духовная семинария. 1983 г. — Московская духовная академия.,"Родился 3 марта 1955 г. в пос. Востряково Домодедовского р-на Московской обл. В 1976-1979 гг. учился в Московской духовной семинарии, затем — в Московской духовной академии, которую окончил в 1983 г. В 1983-1989 гг. являлся референтом и личным секретарем  митрополита Ленинградского Алексия , впоследствии Патриарха Московского и всея Руси. 28 августа 1984 г. рукоположен во диакона, 28 августа 1986 г. — во иерея, с 1988 г. служил в Свято-Троицком соборе  Александро-Невской лавры . 30 сентября 1989 г. пострижен в монашество, 5 октября в Свято-Троицком соборе Александро-Невской лавры хиротонисан во епископа Ладожского. 20 июля 1990 г. назначен епископом Истринским, викарием  Московской епархии . 25 февраля 1997 г. возведен в сан архиепископа. Курирует приходы, духовенство и приходские советы г. Москвы. Участвовал в работе комиссий по освидетельствованию возвращаемых Церкви и вновь обретаемых святых мощей: св. блгв. кн. Александра Невского (1988 г.), преподобных Зосимы, Савватия и Германа Соловецких (1990 г.), прп. Серафима Саровского (1991 г.), свт. Иоасафа Белгородского (1991 г.), свт. Тихона, Патриарха Московского и всея России (1991 г.), блж. Матроны Никоновой (1998 г.). В 1994-1997 гг. являлся председателем Научно-редакционного совета по изданию «Истории Русской Церкви» митрополита Макария (Булгакова). С 1998 г., со дня основания, возглавляет  Научно-редакционный совет по изданию «Православной энциклопедии» . В декабре 2010 г.  поручено окормление  приходских храмов на территории Центрального (Центральное, Сретенское, Богоявленское, Покровское, Москворецкое благочиния) и Южного административных округов г. Москвы (Даниловское благочиние). Распоряжением Святейшего Патриарха Кирилла от 31 декабря 2011 г.  назначен  управляющим Центральным викариатством в границах Центрального административного округа г. Москвы и Южным викариатством в границах Южного административного округа г. Москвы. 1 февраля 2014 г. за Божественной литургией в Храме Христа Спасителя в Москве Святейшим Патриархом Кириллом  возведен  в сан митрополита. Решением Священного Синода от 24 декабря 2015 г. ( журнал № 89 ) включен в состав  Высшего Церковного Совета  Русской Православной Церкви. Председатель Комиссии по церковному имуществу и землевладениям при  Епархиальном совете  г. Москвы.",Церковные: 2015 г. —  орден  прп.о Серафима Саровского II ст.; орден св. равноап. кн. Владимира III ст.; орден св. блгв. кн. Даниила Московского II ст.; медаль прп. Сергия Радонежского II ст.; ордена и медали Поместных Православных Церквей. Светские: государственный орден Дружбы; медаль «За заслуги перед Отечеством» II ст.; медаль «В память 850-летия Москвы».,,,www.moseparh.ru,http://www.patriarchia.ru/db/text/38848.html,http://p2.patriarchia.ru/2017/03/30/1234605330/2.jpg
71,"Арсений, митрополит Святогорский, викарий Донецкой епархии (Яковенко Игорь Федорович)",Епископат РПЦ,Украина,21 июня 1968 г.,21 августа 1992 г.,4 декабря 2005 г.,,21 мая,"Донецкая и Мариупольская епархия 
 (Викарный архиерей)","Успенская Святогорская лавра 
 (Наместник)",1992 г. — Московская духовная семинария.,"Родился 21 июня 1968 г. в пос. Поросозеро Суоярвского р-на Карельской АССР в семье железнодорожника. В 1969 г. его родители переехали на родину отца в с. Лиски Лискинского р-на Воронежской обл., где и он жил до совершеннолетия, получив образование в сельской средней школе. По ее окончании в 1985 г. поступил в Воронежский сельскохозяйственный институт на агрономический факультет. По окончании первого курса в 1986 г. был призван в армию и с июня 1986 г. по май 1988 г. проходил службу в Горьковской обл. По окончании службы забрал документы из института и с октября 1988 г. по июль 1989 г. был чтецом кафедрального собора Покрова Божией Матери г. Воронеж. В августе 1989 г. поступил в  Московскую духовную семинарию , которую окончил в 1992 г. 12 июля 1992 г.  епископом Донецким и Славянским Алипием  рукоположен в сан диакона в Петропавловском храме г. Красный Лиман  Донецкой епархии . 25 июля 1992 г., в день празднования иконы Божией Матери «Троеручица», в Николаевском храме г. Ясиноватая Донецкой обл. Украины рукоположен в сан иерея. 21 августа 1992 г., в день памяти прпп. Зосимы и Савватия Соловецких, в храме свт. Василия Великого с. Никольское Волновахского р-на Донецкой обл. епископом Алипием пострижен в мантию с именем Арсений в честь прп. Арсения Великого и назначен на приход свв. апп. Петра и Павла г. Красный Лиман Донецкой обл. вторым священником. 6 мая 1993 г. указом  епископа Донецкого Ипполита  переведен в число братии новооткрытого  Успенского Святогорского монастыря  и назначен на должность благочинного обители. 20 января 1995 г. по благословлению  Блаженнейшего митрополита Киевского и всея Украины Владимира  назначен наместником Святогорского монастыря с возведением в сан игумена и вручением жезла. В том же году к празднику святой Пасхи возведен в сан архимандрита. 10 ноября 2005 г. на заседании Священного Синода УПЦ избран ( журнал № 34 ) епископом Святогорским, викарием  Горловской епархии . 4 декабря 2005 г. в Успенской Святогорской лавре Блаженнейшим митрополитом Владимиром рукоположен во епископа Святогорского, викария Горловской епархии. 19 декабря 2010 г. возведен в сан архиепископа. 17 августа 2015 г. за Литургией в Киево-Печерской лавре  митрополитом Киевским и всея Украины Онуфрием   возведен  в сан митрополита.",Церковные: 2018 г. —  орден  прп. Серафима Саровского III ст. орден св. равноап. кн. Владимира II-III ст.; орден Рождества Христова I ст. Светские: государственный орден Украины «За заслуги»  III ст.,"Слово  архимандрита Арсения (Яковенко) при наречении во епископа Святогорского, викария Горловской епархии.",svyatlavra@mail.ru,http://svlavra.church.ua,http://www.patriarchia.ru/db/text/66241.html,http://p2.patriarchia.ru/2015/08/20/1234632723/2.jpg
72,"Артемий, архиепископ Гродненский и Волковысский (Кищенко Александр Анатольевич)",Епископат РПЦ,Белоруссия,25 апреля 1952 г,3 января 1996 г.,4 февраля 1996 г.,,2 ноября,"Гродненская епархия 
 (Правящий архиерей)",,,"Родился 25 апреля 1952 г. в Минске. После окончания средней школы в 1969 г. поступил в Белорусский институт механизации и электрификации сельского хозяйства, окончил 3 курса. В 1976 г., после демобилизации, принят послушником в Псково-Печерский монастырь. В 1976 г. поступил в Ленинградскую духовную семинарию, в 1979 г. в Ленинградскую духовную академию, в которой окончил 3 курса. С 1979 г. исполнял различные послушания при Успенской церкви г. Олонца Карельской АССР. 21 февраля 1982 г. рукоположен во диакона в состоянии целибата. С 1 октября 1982 г. служил в храме св. блгв. кн. Александра Невского в г. Минске. 24 марта 1984 г. рукоположен во иерея. Участвовал в организации работы воскресной школы при храме, попечительства над интернатом престарелых и инвалидов. 3 января 1996 г. в Жировицком Успенском монастыре пострижен в монашество, 8 января возведен в сан архимандрита. 4 февраля 1996 г. в Свято-Духовом кафедральном соборе г. Минска хиротонисан во епископа Гродненского и Волковысского. 18 июля 2012 г.  возведен  в сан архиепископа. 21 февраля 2013 г. в Варшавской христианской теологической академии (Польша)  защитил  диссертацию на соискание ученой степени доктора теологии на тему «История Гродненской православной епархии в 1921-1939 годах». Является председателем совета Центра православного просвещения во имя прп. Евфросинии Полоцкой. Архиерейское служение совмещает с преподавательской деятельностью: читает курс основ Православия на богословском факультете при Европейском гуманитарном университете г. Минска.",Церковные: 2012 г. —  орден  свт. Иннокентия Московского II ст.; орден прп. Сергия Радонежского II ст.; орден прп. Евфросинии Полоцкой; орден св. блгв. кн. Даниила Московского II ст.,,,www.orthos.org,http://www.patriarchia.ru/db/text/60802.html,http://p2.patriarchia.ru/2012/08/15/1234628432/1vladyka2.jpg
73,"Артемий, архиепископ Петропавловский и Камчатский (Снигур Александр Николаевич)",Епископат РПЦ,Россия,5 сентября 1962 г.,31 марта 1996 г.,10 апреля 2011 г.,,6 июля,"Петропавловская и Камчатская епархия 
 (Правящий архиерей)",,1984 г. — Санкт-Петербургский военно-транспортный университет. 2004 г. — Московская духовная семинария (заочно). 2008 г. — Московская духовная академия (заочно).,"Родился 5 сентября 1962 г. в г. Днепродзержинске. В 1984 г. окончил Санкт-Петербургский военно-транспортный университет и направлен в г. Алма-Ату. В 1992 г. уволен в запас в звании капитана по сокращению штатов. В 1992-1995 гг. трудился на строительстве храма в честь Рождества Христова г. Алма-Аты. В 1995 г. стал послушником Свято-Николо-Шартомского мужского монастыря с. Введенье Шуйского района Ивановской области. 17 декабря 1995 г. в Преображенском кафедральном соборе г. Иваново  архиепископом Ивановским и Кинешемским Амвросием  рукоположен во диакона. 11 февраля 1996 г. в Благовещенском храме г. Кинешмы архиепископом Амвросием рукоположен во иерея. 31 марта 1996 г. в Казанском храме Свято-Николо-Шартомского мужского монастыря с. Введенье Шуйского района Ивановской области архиепископом Амвросием пострижен в монашество с наречением имени Артемий в честь праведного Артемия Веркольского (пам. 23 июня /6 июля). 4 ноября 1996 г. командирован в  Новосибирскую епархию  для активизации миссионерского служения и укрепления монашества в сибирском регионе. 20 марта 1997 г. назначен инспектором по храмовому строительству Новосибирской епархии. 17 июля 1997 г. утвержден наместником новообразованного Михаило-Архангельского мужского монастыря в с. Малоирменка Ордынского района Новосибирской области (в 1998 г. монастырь переведен в с. Козиха Ордынского района Новосибирской области). 19 февраля 2004 г. назначен председателем архитектурного отдела Новосибирской епархии. В 2004 г. окончил  Московскую духовную семинарию  (заочно). В 2008 г. окончил Московскую духовную академию (заочно). Нес послушания помощника управляющего епархией по общим вопросам; руководителя епархиального отдела по архитектуре, строительству и земельным вопросам; наместника мужского монастыря во имя Архистратига Михаила с. Козиха Ордынского района Новосибирской области. Решением Священного Синода от 22 марта 2011 г. ( журнал № 15 ) избран епископом Петропавловским и Камчатским. 3 апреля 2011 г.  возведен  в сан архимандрита. Наречен  во епископа 8 апреля 2011 г. в  Богоявленском кафедральном соборе  в Елохове в Москве. Хиротонисан 10 апреля за Божественной литургией в  Храме Христа Спасителя  в Москве. Богослужения возглавил Святейший Патриарх Московский и всея Руси Кирилл. Решением Священного Синода от 25-26 декабря 2013 г. ( журнал № 163 ) утвержден в должности священноархимандрита Пантелеимонова мужского монастыря г. Петропавловска-Камчатского. 1 февраля 2016 г. за  Литургией  в Храме Христа Спасителя в Москве Святейшим Патриархом Кириллом возведен в сан архиепископа.",Церковные: 2012 г. —  орден  прп. Сергия Радонежского II ст.,Слово  архимандрита Артемия (Снигура) при наречении во епископа Петропавловского и Камчатского.,,www.pravkamchatka.ru,http://www.patriarchia.ru/db/text/1435221.html,http://p2.patriarchia.ru/2016/02/04/1233380487/4.jpg
