,E-mail,Web-сайт,affiliation,link,name,Администратор приходов,Адрес,Благочинный,Викарный архиерей,Временный управляющий,Глава Митрополичьего округа,Глава митрополии,Главный редактор,Город,Дата создания,Дочерние организации,Дочерняя организация,Заведующий Сектором межрелигиозных контактов,Заведующий Сектором по взаимодействию с Росгвардией,Заведующий сектором теологического образования,Заместитель главы,Заместитель председателя,Заместитель руководителя,Заместитель управляющего делами,И.о. представителя,Исполнительный директор,Исполнительный секретарь,Ключарь,Наместник,Настоятель,Настоятельница,Начальник миссии,Описание,Ответственный секретарь,Патриарший экзарх,Первоиерарх,Первый викарий Патриарха Московского и всея Руси по г. Москве,"Первый заместитель председателя, главный инспектор",Первый заместитель председателя,Первый заместитель управляющего делами,Первый проректор,Почетный настоятель,Правящий архиерей,Председатель Попечительского совета,Председатель комиссии,Председатель правления фонда,Председатель правления,Председатель редакционного совета,Председатель,Представитель Русской Православной Церкви,Предстоятель,Президент,Преподаватель,Профессор,Ректор,Родительская организация,Руководитель Управления по работе с общественными организациями,Руководитель Юридической службы,Руководитель,Священноархимандрит,Секретарь Патриарха Московского и всея Руси по г. Москве,Секретарь,Сопредседатель,Страна,Телефон,Управляющий делами,Управляющий епархией,Управляющий приходами,Управляющий,Факс
448,,,Епархии,http://www.patriarchia.ru/db/text/4077490.html,Славгородская епархия,,,,,,,,,Славгород,5 мая 2015 г.,,,,,,,,,,,,,,,,,,"Входит в состав  Алтайской митрополии Образована решением Священного Синода от 5 мая 2015 г. ( журнал № 5 ) путем выделения из состава  Барнаульской епархии . Включена в состав Алтайской митрополии. Правящему архиерею Синод постановил иметь титул «Славгородский и Каменский». Объединяет приходы в административных границах Каменского, Баевского, Крутихинского, Панкрушихинского, Тюменцевского, Благовещенского, Завьяловского, Ключевского, Мамонтовского, Михайловского, Родинского, Романовского, Славгородского, Бурлинского, Суетского, Немецкого (национального), Кулундинского, Табунского, Хабарского, Павловского, Ребрихинского, Шелаболихинского районов Алтайского края.",,,,,,,,,,"Всеволод, епископ Славгородский и Каменский (Понич Владимир Александрович)",,,,,,,,,,,,,,,,,,,,,Россия,,,,,,
449,,,Государственные и общественные организации,http://www.patriarchia.ru/db/text/109849.html,Славянский фонд России,,,,,,,,,Москва,16 апреля 1990 г.,,,,,,,,,,,,,,,,,,"Общественная культурно-просветительская организация  Славянский фонд России  создана 16 апреля 1990 года.  Действует под непосредственным патронатом Святейшего Патриарха Московского и всея Руси Кирилла.  
 В Попечительский Совет Фонда входят видные государственные и общественные деятели такие как:  Г.С. Полтавченко ,  С.В. Степашин ,  Л.К. Слиска , А.П. Торшин, Е.С. Строев, А.А. Леонов и др. 
 Первой крупной акцией Фонда стал «Славянский ход», начавшийся в Пасхальную ночь 1991 года, когда в Богоявленском кафедральном Соборе от свечи приснопамятного Патриарха Московского и Всея Руси Алексия II, загорелась свеча «Славянского хода», основная задача которого — укрепление дружеских связей  между братскими славянскими народами, совместное сохранение и развитие кирилло-мефодиевского наследия, восстановление института народной дипломатии. 
 Ежегодно Славянский фонд России совместно с Московской Патриархией при поддержке администрации Президента РФ, Правительства России и Москвы, посольств славянских стран, аккредитованных в России,  других общественных и государственных организаций проводит Дни славянской письменности и культуры. Более чем в пятидесяти городах России ежегодно в майские дни проходят праздники славянской культуры, фестивали, конкурсы духовного, классического и народного искусства. 
 В рамках Дней славянской письменности и культуры проходит церемония награждения лауреатов Международной премии свв. равноапп. братьев Кирилла и Мефодия, которую учредил Фонд в 1997 году. В разные годы ее лауреатами стали Патриарх Московский и всея Руси Алексий II,  Президент России В.В. Путин , Президент Беларуси  А.Г. Лукашенко , мэр Москвы  Ю.М. Лужков , академик А.М. Панченко, Л.Г. Зыкина, В.А. Садовничий, Г.А. Гергиев и др. 
 Фондом учреждена премия в области театрального искусства, которой награждены Государственный академический Малый театр и театр «Ленком». 
 Совместно с Российской академией наук и Институтом славяноведения РАН Фонд проводит симпозиумы и конференции по теме «Славянский мир в третьем тысячелетии». Ведущие ученые ряда славянских стран принимают активное участие в подготовке и проведении данных форумов. 
 Просветительскую работу Фонд проводит с Государственной Российской детской библиотекой на Калужской площади и Дворцом детского творчества на Воробьевых Горах. Дети из разных уголков страны присылают свои работы на литературно-художественный конкурс «Отчий дом». 
 Фонд совместно с Московской Патриархией, Комитетом по культуре, Комитетом по делам семьи и молодёжи, Комитетом межрегиональных связей и национальной политики г. Москвы ежегодно проводит детские православные паломнические миссии по монастырям России, Рождественские Патриаршие праздники для детей-сирот, культурно-просветительские акции для учащихся воскресных и общеобразовательных школ. 
 Президент Славянского фонда России — Галина Васильевна Боголюбова, заслуженный работник культуры РФ, член Союза писателей России и международного сообщества писательских союзов г. Москвы, почетный член четырех академий, профессор, кавалер орденов Русской Православной Церкви св. равноап. кн. Ольги, свт. Иннокентия, св. равноап. кн. Владимира, государственных орденов Дружбы, Почета, общественного ордена святого Серафима Саровского и др.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Россия,681-44-87,,,,,
450,info@sluck-eparchiya.by,http://sluck-eparchiya.by,Епархии,http://www.patriarchia.ru/db/text/3806530.html,Слуцкая епархия,,,,,,,,,Слуцк,23 октября 2014 г.,,,,,,,,,,,,,,,,,,"Входит в состав  Минской митрополии   Белорусского экзархата Образована  решением Священного Синода от 23 октября 2014 г. ( журнал № 93 ) путем выделения из состава  Минской епархии . Включена в состав Минской митрополии Белорусского экзархата. Объединяет приходы в пределах Клецкого, Копыльского, Любанского, Несвижского, Слуцкого, Солигорского и Стародорожского районов Минской области Республики Беларусь. Епархиальному архиерею Синод постановил иметь титул «Слуцкий и Солигорский».",,,,,,,,,,"Антоний, епископ Слуцкий и Солигорский (Доронин Денис Валентинович)",,,,,,,,,,,,,,,,,,,,,Республика Беларусь,,,,,,
451,eparxysmolensk@mail.ru,http://smoleparh.ru,Епархии,http://www.patriarchia.ru/db/text/31523.html,Смоленская епархия,,"214000, г. Смоленск, Соборный двор, 17",,,,,,,Смоленск,1137 г.,,,,,,,,,,,,,,,,,,"Входит в состав  Смоленской митрополии Учреждена в 1137 г. (есть предположение, что епископы были и ранее). Выделена из Переяславль-Хмельницкой епархии. С 26.01/04.02.1539 [1589?] г. — архиепископия; с 1681 г по 1728 гг. — митрополия. В 1415-1419 гг. и в 1458-1514 гг. находилась в канонической юрисдикции Киево-Литовских митрополитов. Решением Священного Синода от 31 марта 2009 г. ( журнал № 22 ) на территории Калининградской области образована епархия Русской Православной Церкви. Правящий архиерей новообразованной епархии получил титул «Калининградский и Балтийский», правящий архиерей Смоленской епархии — «Смоленский и Вяземский». Решением Священного Синода от 5 мая 2015 г. ( журнал № 8 ) из состава епархии выделена  Вяземская епархия . Правящему архиерею Синод постановил иметь титул «Смоленский и Рославльский». Смоленская епархия включена в состав Смоленской митрополии. Решением Священного Синода от 4 мая 2017 г. ( журнал № 32 ) из состава епархии выделена  Рославльская епархия . Правящему архиерею Синод постановил иметь титул «Смоленский и Дорогобужский». Епархия сегодня (по состоянию на декабрь 2015 года) Благочиния и благочинные Демидовское — протоиерей Александр Миронов Ельнинское — протоиерей Николай Бондар Рославльское — протоиерей Михаил Гольцман Смоленское городское — протоиерей Михаил Горовой Смоленское районное — протоиерей Роман Павлишов Ярцевское — протоиерей Василий Мовчанюк Монастыри мужские: Свято-Троицкий Болдин 215720, Смоленская область, Дорогобужский район, п/о Полибино, с. Болдино; тел. (48144) 6-52-43 настоятель — архимандрит Антоний (Мезенцов) Спасо-Преображенский Авраамиев 214000, Смоленск, ул. Маршала Жукова, 22; тел. (4812) 38-98-76; сайт  http://www.avraamiev.com/ настоятель — игумен Хрисанф (Шадронов) Спасо-Преображенский 216500, Смоленская область, г. Рославль, ул. Пролетарская, 52; тел. (48134) 4-11-31  настоятель — иеромонах Мелетий (Павлюченков) женские: Спасо-Вознесенский 214000, г. Смоленск, ул. Коненкова, 9; тел. (4812) 35-05-69 настоятельница — игумения Елисавета (Киселева) Свято-Троицкий 214000, г. Смоленск, ул. Большая Советская, 9; тел. (4812) 69-03-31; сайт  http://stmonastir.ru/ настоятельница — игумения Николая (Саттерова) великомученика Димитрия Солунского 215720, Смоленская область, г. Дорогобуж, ул. Интернациональная, 16; тел. (48144) 4-17-92  настоятельница — игумения Михаила (Коровина) Количество  приходов  в епархии — 138. Количество  клириков и монашествующих : священников — 121 диаконов — 13 монашествующих в сане — 24 монашествующих без сана — 7 женское монашество — 19 Епархиальные социальные учреждения Смоленская православная добровольческая служба «Милосердие» 214000, Смоленск, Соборный двор, 17; тел. (4812) 33-04-08; сайт  http://www.smolmiloserdie.ru/ «Дом для мамы» (кризисный центр для беременных или родивших женщин, попавших в сложную жизненную ситуацию) 214000, г. Смоленск, ул. Парковая, 2А; тел. +7951 712-72-00;  e - mail   Skripka . tat @ yandex . ru ; страница ВКонтакте  http :// vk . com / smol _ ddm православный детский дом для девочек 214000, г. Смоленск, Соборный двор, 13; тел.: (4812) 27-33-55, 27-33-54 Епархиальные СМИ Действуют 48 сайтов приходов и подразделений Смоленской епархии, в том числе: официальный сайт Смоленской митрополии  http://smoleparh.ru/ официальный канал Смоленской епархии на видеохостинге YouTube.com  http://www.youtube.com/user/smoleparhru сайт Демидовского благочиния  http://www.blago-demidov.ru/ сайт Смоленского районного благочиния  http://smolblag.cerkov.ru/ сайт Рославльского благочиния  http://roslavl-blago.cerkov.ru/ сайт Ярцевского благочиния  http://www.yarcevoblag.ortox.ru/ печатные СМИ: Смоленские епархиальные ведомости (выходят 4 раза в год) «Смоленск православный» (ежемесячная газета) ТВ: телестудия «Святой Меркурий» Учебные заведения Смоленская православная духовная семинария 214000, г. Смоленск, ул. Тимирязева, 5; тел.: (4812) 38-26-54, 39-42-73, 39-42-76; сайт  http://www.smolensk-seminaria.ru/ Смоленское межъепархиальное православное духовное училище 214000, г. Смоленск, Соборный двор, 7; тел. (4812) 38-28-62;  сайт  http://www.смпду.рф/ Православная гимназия № 1 214000, г. Смоленск, ул. Соболева, 1 (начальная школа); 214000, г. Смоленск, ул. Беляева 4А (средняя и старшая школа); тел.: (4812) 27-06-84, 27-05-22; сайт  http://www.pravoslaviesml.ru/ православные детские сады: православный детский сад № 1 214000, г. Смоленск, ул. Соболева, 2; тел. (4812) 27-08-66 православный детский сад № 2 215290, Смоленская область, г. Велиж, ул. Недоговорова, 9; тел. (48132) 4-23-70 православный детский сад № 4 214000, г. Смоленск, ул. Лавочкина, 40; тел. (4812) 41-64-00 *** Историческая справка Успенский кафедральный собор Смоленска http://www.smolmiloserdie.ru/",,,,,,,,,,"Исидор, митрополит Смоленский и Дорогобужский (Тупикин Роман Владимирович)",,,,,,,,,,,,,,,,,,,,,Россия,(4812) 38-01-97,,,,,(4812) 38-19-28
452,eparxysmolensk@mail.ru,http://smoleparh.ru,Митрополии,http://www.patriarchia.ru/db/text/4078518.html,Смоленская митрополия,,,,,,,"Исидор, митрополит Смоленский и Дорогобужский (Тупикин Роман Владимирович)",,Смоленск,5 мая 2015 г.,,,,,,,,,,,,,,,,,,"Образована решением Священного Синода от 5 мая 2015 г. ( журнал № 8 ) в пределах Смоленской области. Включает  Вяземскую ,  Смоленскую  и  Рославльскую  епархии.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Россия,,,,,,
453,,,Организации иных конфессий,http://www.patriarchia.ru/db/text/77450.html,Совет муфтиев России,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Решение о создании Совета муфтиев России (СМР) было принято на состоявшейся 2 июня 1996 г. встрече муфтиев — руководителей Духовных управлений мусульман ряда территорий России. На встрече был одобрен проект Устава СМР. Его председателем был избран глава Духовного управления мусульман Центрально-Европейского региона (ныне Духовное управление мусульман Европейской части России — ДУМЕР)  муфтий Равиль Гайнутдин . 
 СМР создавался как орган управления, где вырабатывается общее мнение на основе поступающей с мест информации и координируется деятельность добровольно входящих в Совет мусульманских духовных управлений. Во главе СМР стоит председатель, избираемый на три года из числа руководителей пяти наиболее крупных ДУМ. 
 25 ноября 1998 г. была достигнута договоренность об объединении СМР с двумя другими крупными мусульманскими объединениями — Высшим координационным центром ДУМ России (ВКЦ) и Координационным центром мусульман Северного Кавказа. 
 Российская политическая элита чаще всего формирует свое мнение по проблемам ислама во многом под воздействием лидера СМР как главы «Московского муфтията». Спектр политиков, с которыми контактирует СМ, довольно широк: от действующих государственных чиновников до лидеров партий и движений. 
 Источники:  Сергей Сафронов. Ислам: поиски организационных форм и места в политической жизни (1997-1998 гг.)",,,,,,,,,,,,,,,,,,,,,,,,,,Гайнутдин Равиль,,,,,Россия,,,,,,
454,,,Русская Церковь,http://www.patriarchia.ru/db/text/1107037.html,Совет православных общественных объединений,,,,,,,,,,5 марта 2010 г.,,,,,,,,,,,,,,,,,,"Со времени создания  Синодального отдела по взаимоотношениям Церкви и общества  в Отдел регулярно поступали обращения православных общественных организаций и объединений с просьбой о системном сотрудничестве. В связи с этим, на  состоявшемся  5 марта 2010 г. в Санкт-Петербурге заседании Священного Синода, было предложено учредить Совет православных общественных организаций и объединений для координации их взаимодействия с церковными учреждениями ( журнал № 23 ). Заслушав рапорт председателя Синодального отдела по взаимоотношениям Церкви и общества  протоиерея Всеволода Чаплина , члены Священного Синода  постановили создать  Совет православных общественных объединений при указанном Синодальном отделе. В число основных задач Совета входит рассмотрение инициатив, требующих коллегиальной оценки, планирование совместной деятельности, в том числе в рамках общецерковных программ и мероприятий, в частности, приуроченных к празднованию Дней славянской письменности и культуры и Дню народного единства.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Россия,,,,,,
455,,http://www.sobornost.org/,Прочие,http://www.patriarchia.ru/db/text/386752.html,Содружество святого Албания и преподобного Сергия,,,,,,,,,,1928,,,,,,,,,,,,,,,,,,"Содружество святого Албания и преподобного Сергия (The Fellowship of St Alban and St Sergius) было основано в 1928 году совместно православными и англиканами, серьезно и глубоко интересовавшимися Православием. 
 Идею создания Содружества выдвинул в 1925 году Н.М. Зернов на студенческом съезде в Манчестере. В Великобритании это начинание нашло значительную поддержку в лице членов «Ассоциации Англиканской и Восточных Церквей» (The Anglican and Eastern Churches Association), активно действующей с начала XX века. Тесное сотрудничество русских православных с членами этой ассоциации и привело к созданию Содружества. Первый Англикано-православный съезд открылся 11 января 1927 года в городке Сент-Олбанс, недалеко от Лондона. 
 Содружество ставит задачей помочь православным и англиканам лучше узнать друг друга, познакомиться с духовностью, богословием и богослужением Православной и Англиканской Церквей. В качестве духовных покровителей Содружества были избраны святой Албаний (Альбан), один из первых святых Великобритании, и преподобный Сергий Радонежский. 
 Большую роль в истории Содружества сыграли, помимо Н.М. Зернова, митрополит Евлогий (Георгиевский),  митрополит Антоний (Блум) , архиепископ Алексий (ван дер Менсбрюгге), епископ Кассиан (Безобразов), архимандрит Лев (Жилле), протопресвитер Александр Шмеман, протоиерей Сергий Булгаков, протоиерей Георгий Флоровский, Н.А. Бердяев, Л.А. Зандер, А.В. Карташов,  В.Н. Лосский , Г.П. Федотов, епископ Англиканской Церкви Уолтер Фрир,  
 В настоящее время центр Содружества находится в Оксфорде. Генеральным секретарем Содружества является священник Стивен Платт, настоятель Свято-Никольского прихода  Сурожской епархии .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Великобритания,,,,,,
456,sever.pravoslavie@mail.ru,http://solikamsk-eparh.cerkov.ru,Епархии,http://www.patriarchia.ru/db/text/3609939.html,Соликамская епархия,,"Пермский край, г. Соликамск, Красноармейская ул., 40",,,,,,,Соликамск,19 марта 2014 г.,,,,,,,,,,,,,,,,,,"Входит в состав  Пермской митрополии Образована решением Священного Синода от 19 марта 2014 г. ( журнал № 9 ) путем выделения из состава  Пермской епархии . Включена в состав Пермской митрополии. Объединяет приходы в административных границах городского округа Березники, Александровского, Горнозаводского, Гремячинского, Губахинского, Кизеловского, Красновишерского, Соликамского, Усольского, Чердынского и Чусовского районов Пермского края. Правящему архиерею Синод постановил иметь титул «Соликамский и Чусовской».",,,,,,,,,,"Зосима, архиепископ Соликамский и Чусовской (Остапенко Владимир Михайлович)",,,,,,,,,,,,,,,,,,,,,Россия,+7 (34253) 54333,,,,,
457,sofrino@sofrino.ru,www.sofrino.ru,Русская Церковь,http://www.patriarchia.ru/db/text/66015.html,"Софрино, художественно-производственное предприятие Русской Православной Церкви",,"141270, Московская область, Пушкинский район, пос. Софрино, ул. Патриарха Пимена, 3",,,,,,,,,,,,,,,,,,,,,,,,,,"Художественно-производственное предприятие Русской Православной Церкви. Мастерские по производству церковной утвари начали работу в 1949 г., завод церковной утвари в подмосковном пос. Софрино был открыт и освящен 15 сентября 1980 г. В настоящее время предприятие, где работают более 2 тыс. чел., выпускает свыше 2,5 тыс. наименований изделий: церковной утвари, икон, облачений, свечей, ювелирных изделий, богослужебных книг, сувенирной продукции. Образцы изделий представлены в отделе сбыта и музее предприятия. При «Софрино» существует храм во имя прп. Серафима Саровского, освященный 5 мая 1997 г. Святейшим Патриархом Московским и всея Руси Алексием II. При храме работает воскресная школа. Директор — Е.А. Пархаев.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Россия,993-24-49 (секретарь); 993-29-56 (отдел сбыта),,,,,676-45-45
458,office@valaam.ru,http://valaam.ru,Ставропигиальные монастыри,http://www.patriarchia.ru/db/text/123135.html,Спасо-Преображенский Валаамский ставропигиальный мужской монастырь,,"186756, Республика Карелия, Сортавальский р-н, о. Валаам",,,,,,,,,,,,,,,,,,,,,,"Панкратий, епископ Троицкий, викарий Святейшего Патриарха Московского и всея Руси (Жердев Владислав Петрович)",,,,"История Современные исследователи относят основание монастыря к нач. XIV в. Уже к XV-XVI вв. монастырь стал широко известен на Руси. Из числа валаамского братства вышли знаменитые подвижники и основатели многих монастырей на Руси: Александр Свирский, Арсений Коневский, Корнилий Палеостровский, Савватий Соловецкий, Герман Аляскинский, Антипа Валаамский. Большую любовь к обители имел свт. Игнатий (Брянчанинов). С 1917 по 1940 г. Валаам территориально принадлежал Финляндии. В начале 1940 г. братия эвакуировалась в Финляндию. 14 декабря 1989 г. первые шесть иноков прибыли на остров для возрождения монашеской жизни. В 1991 г. Спасо-Преображенскому Валаамскому монастырю присвоен статус ставропигиального. Храмы Спасо-Преображенский собор, надвратный храм свв. апп. Петра и Павла, храм в честь Валаамской иконы Божией Матери, храм Успения Божией Матери, храм в честь иконы Божией Матери «Живоносный Источник» и храм в честь Живоначальной Троицы. Святыни Мощи прпп. Сергия и Германа, Валаамских чудотворцев, в нижней церкви Спасо-Преображенского собора под спудом (память 28 июня/11 июля, 11/24 сент.); мощи прп. Антипы Валаамского (память 28 дек./10 янв.); чтимый список Валаамской иконы Божией Матери. *** Скиты Валаамского монастыря Сайт московского подворья:  http://mospodvorie.ru . *** Наместник —  епископ Троицкий Панкратий .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Россия,(81430) 4-45-84,,,,,
459,,http://solovki-monastyr.ru,Ставропигиальные монастыри,http://www.patriarchia.ru/db/text/964179.html,Спасо-Преображенский Соловецкий ставропигиальный мужской монастырь,,"164070, Архангельская обл., п. Соловецкий",,,,,,,,XV в.,,,,,,,,,,,,,,"Порфирий, архимандрит (Шутов Владимир Викторович)",,,,"Наместник обители —  архимандрит Порфирий (Шутов)  ( назначен  решением Священного Синода от 10 октября 2009 г). *** Краткая история Соловецкой обители 1429-1434   Преподобные Савватий и Герман поселились на севере пустынного Соловецкого острова и пять лет жили там пустынножительным уставом. 1435 — конец XV века   После кончины святого Савватия преподобные Зосима и Герман основали общежительный монастырь на юге Соловецкого острова, на месте видения «церкви на воздусе» между Святым озером и бухтой Благополучия. В центре обители, на возвышении располагались деревянные Спасо-Преображенский собор с Никольским приделом и Успенская церковь. Вокруг, по периметру, размещались одноэтажные келлии. Деревянный монастырь страдал от пожаров и дважды выгорал до тла. Конец XV — начало XVI века   В 1503 году митрополитом Киевским Спиридоном-Саввой со слов игумена Досифея I было составлено первое житие преподобных Зосимы и Савватия. Стараниями игумена Досифея была основана знаменитая соловецкая библиотека, в которой к 1602 году числились 481 рукопись и 38 печатных книг. 1547   При митрополите Макарии причислены к лику святых основатели обители, преподобные Зосима и Савватий, Соловецкие чудотворцы. 1548-1566   Во время игуменства будущего святителя Филиппа в монастыре развернулось каменное строительство. По проектам игумена Филиппа возведены Успенская церковь с Трапезной и Келарской палатами (1552-1557) и Спасо-Преображенский собор (1558-1566). На Большом Заяцком острове была сооружена первая в России каменная гавань для морских судов, обновлена монастырская ферма на острове Большая Муксалма, начато сооружение канальной системы. Основным вкладчиком обители был государь Иоанн IV. Конец XVI — начало XVII века   После кончины святителя Филиппа, под руководством монаха Трифона (Кологривова), были сооружены мощная валунная крепость (1582-96), Благовещенская церковь над Святыми вратами (1600) и центральная каменная галерея (1602). Оформилась окончательная планировка монастыря: пятиугольный, вытянутый в плане, он напоминает корабль, устремленный с севера на юг. Времена смуты (до 1615)   Настоятели монастыря святые игумены Антоний и Иринарх возглавили оборону Беломорья от поляков и шведов. В историю борьбы с захватчиками вписаны имена пострижеников Соловецких — митрополита Новгородского Исидора и старца Авраамия (Палицына), келаря Троице-Сергиевой лавры. 1620   Преподобный Елеазар основал Свято-Троицкий скит на острове Анзер. 1634   Поставление в Патриархи Московские и всея Руси Иоасафа I, постриженика Соловецкого. 1635   Преподобный Елеазар в Свято-Троицком скиту совершил иноческий постриг священника Никона, будущего Патриарха Московского и всея Руси. 1652   Перенесение святых мощей святителя Филиппа из Соловков в Москву. Интронизация Патриарха Никона. 1668-1676   «Соловецкое сидение». Вооруженное сопротивление иноков-старообрядцев церковным реформам привело к разорению обители царскими стрельцами. 1713   Преподобный Иов (в схиме Иисус) основал Голгофо-Распятский скит на острове Анзер. 1765   Соловецкий монастырь становится ставропигиальным. 1854   Безуспешный штурм Соловецкого монастыря английской военной эскадрой, девятичасовой пушечный обстрел обители. Начало XX века   На Соловках за монастырем числилось 6 скитов и 3 пустыни, 19 церквей (30 престолов) и 30 часовен. В обители существовали: училище для 200 детей поморов — «безбрадых трудников», Братское богословское семиклассное училище (с программой семинарии), метеостанция, радиостанция, гидроэлектростанция, литография, собственный ботанический сад. Некоторое время работала Биостанция — первое научное учреждение на Беломорье. Обитель имела хорошо налаженное и рентабельное хозяйство, ориентированное на прием паломников, число которых достигало 20 тысяч в год. Перевозки по морю осуществлялись тремя монастырскими пароходами; монастырский флот давал четвертую часть доходов обители. 1920   Упразднение монастыря советской властью. 1923   Создание в стенах обители Соловецкого лагеря особого назначения (СЛОН) ОГПУ. 1928   Жестокое убиение преподобномучеников архимандрита Вениамина, настоятеля Соловецкого монастыря, и иеромонаха Никифора. 1939   Упразднение концлагеря и организация на Соловках Учебного центра Северного флота (Школы юнг). 1967   В стенах обители создан филиал Архангельского краеведческого музея, реорганизованный в 1974 году в Соловецкий государственный историко-архитектурный и природный музей-заповедник, существующий в настоящее время. 1990   Решение Священного Синода о возобновлении Соловецкой обители. 1992   Возвращение на Соловки мощей преподобных Зосимы, Савватия и Германа, Соловецких чудотворцев, которое возглавил  Святейший Патриарх Алексий II . 1994   Начало реставрационных работ в скитах и пустынях обители. 1999   На острове Анзер были обретены честные мощи священномученика архиепископа Воронежского Петра (Зверева). 2000   Подняты из-под спуда мощи преподобного Иова (в схиме Иисуса), основателя Голгофо-Распятского скита. 2001   Освящение отреставрированного храма святителя Филиппа, митрополита Московского. 2007   Освящение вновь отлитых колоколов Соловецкой звонницы и великое освящение Спасо-Преображенского собора. 2008   Освящение поклонного креста и часовни на месте захоронения узников концлагеря у горы Секирной.  Освящение  храма Распятия Господня на горе Голгофе (остров Анзер). 2008   Освящение восстановленного храма Распятия Господня в Голгофо-Распятском скиту. 2009   Мощи священномученика Петра (Зверева)  перенесены  с Соловков в Воронеж. 2010    Учреждение  Патриаршего Попечительского совета Соловецкого монастыря.  Выставка  «Соловки. Голгофа и воскресение» в Храме Христа Спасителя в Москве. 2013    Освящение  Вознесенского храма на Секирной горе. *** Скиты и пустыни Андреевский скит Вознесенский скит Голгофо-Распятский скит  ( см. также ) Никольский скит Савватиевский скит Сергиевский скит Троицкий скит  ( см. также ) Исааковская пустынь Макариевская пустынь Филиппова пустынь *** Спасо-Преображенский Соловецкий ставропигиальный мужской монастырь (справка о состоянии на 2009 год) Спасо-Преображенский собор Соловецкой обители Соловецкий лагерь особого назначения",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Россия,(8183590) 298,,,,,(8183590) 298
460,,,Митрополичьи округа,http://www.patriarchia.ru/db/text/1589275.html,Среднеазиатский митрополичий округ Русской Православной Церкви,,,,,,"Викентий, митрополит Ташкентский и Узбекистанский (Морарь Виктор Александрович)",,,,27 июля 2011 г.,,,,,,,,,,,,,,,,,,"Образован  решением Священного Синода от 27 июля 2011 г. ( журнал № 67 ). Главой Среднеазиатского митрополичьего округа Синод постановил быть Преосвященному Ташкентскому и Узбекистанскому. В делах, касающихся Среднеазиатского митрополичьего округа, а также при литургическом поминовении в иных, кроме возглавляемой им самим, епархиях, главе Среднеазиатского митрополичьего округа Синод постановил титуловаться «митрополит Среднеазиатский». Также Синод утвердил «Внутреннее положение о Среднеазиатском митрополичьем округе». В состав округа входят  Бишкекская ,  Душанбинская  и  Ташкентская  епархии, а также  Патриаршее благочиние приходов Русской Православной Церкви в Туркменистане . *** Внутреннее положение о Среднеазиатском митрополичьем округе",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
